Integer Structure Map — LLaMA v2
Scanned 290/291 tensors (eps=0.1, 1 unsupported types skipped)
Q4_0 max entropy = 4.0 bits (16 uniform levels). Lower = more structured.

TENSOR                                          TYPE    ELEMS ENTROPY  EFF_LV  %LOW_E MAX|W|    %ZERO
------------------------------------------------------------------------------------------------------------
blk.0.attn_q.weight                             Q4_0    16.8M   2.836     7.1   13.0%  0.773    99.8%
blk.0.attn_k.weight                             Q4_0    16.8M   2.949     7.7    7.4%  0.816    99.8%
blk.0.attn_output.weight                        Q4_0    16.8M   3.195     9.2    0.8%  0.451   100.0%
blk.1.attn_output.weight                        Q4_0    16.8M   3.250     9.5    0.6%  0.590   100.0%
blk.1.attn_q.weight                             Q4_0    16.8M   3.319    10.0    0.5%  0.473    99.2%
blk.1.attn_k.weight                             Q4_0    16.8M   3.320    10.0    0.3%  0.574    99.2%
blk.1.attn_v.weight                             Q4_0    16.8M   3.354    10.2    0.0%  0.128   100.0%
blk.2.attn_k.weight                             Q4_0    16.8M   3.363    10.3    0.5%  0.373    99.5%
blk.0.attn_v.weight                             Q4_0    16.8M   3.367    10.3    0.0%  0.135   100.0%
blk.31.ffn_down.weight                          Q4_0    45.1M   3.367    10.3    0.0%  1.773   100.0%
blk.2.attn_q.weight                             Q4_0    16.8M   3.370    10.3    0.3%  1.102    99.7%
blk.4.attn_k.weight                             Q4_0    16.8M   3.380    10.4    0.3%  0.512    99.8%
blk.3.attn_k.weight                             Q4_0    16.8M   3.380    10.4    0.3%  0.410    99.8%
blk.3.attn_q.weight                             Q4_0    16.8M   3.382    10.4    0.2%  0.781    99.9%
blk.30.ffn_down.weight                          Q4_0    45.1M   3.383    10.4    0.0%  1.305   100.0%
blk.5.attn_k.weight                             Q4_0    16.8M   3.385    10.4    0.2%  0.334    99.8%
blk.4.attn_q.weight                             Q4_0    16.8M   3.385    10.4    0.2%  0.676    99.9%
blk.31.attn_q.weight                            Q4_0    16.8M   3.385    10.4    0.1%  0.668   100.0%
blk.31.attn_k.weight                            Q4_0    16.8M   3.387    10.5    0.1%  0.404   100.0%
blk.30.attn_q.weight                            Q4_0    16.8M   3.388    10.5    0.2%  0.816   100.0%
blk.5.attn_q.weight                             Q4_0    16.8M   3.388    10.5    0.1%  0.641    99.9%
blk.24.attn_k.weight                            Q4_0    16.8M   3.390    10.5    0.0%  0.330   100.0%
blk.29.attn_q.weight                            Q4_0    16.8M   3.391    10.5    0.1%  0.816   100.0%
blk.22.attn_k.weight                            Q4_0    16.8M   3.391    10.5    0.0%  0.316   100.0%
blk.29.attn_k.weight                            Q4_0    16.8M   3.391    10.5    0.1%  0.367   100.0%
blk.26.attn_k.weight                            Q4_0    16.8M   3.391    10.5    0.0%  0.355   100.0%
blk.21.attn_k.weight                            Q4_0    16.8M   3.391    10.5    0.0%  0.375   100.0%
blk.6.attn_k.weight                             Q4_0    16.8M   3.392    10.5    0.1%  0.309    99.8%
blk.23.attn_k.weight                            Q4_0    16.8M   3.392    10.5    0.0%  0.312   100.0%
blk.7.attn_k.weight                             Q4_0    16.8M   3.392    10.5    0.0%  0.316    99.9%
blk.6.attn_q.weight                             Q4_0    16.8M   3.392    10.5    0.1%  0.613    99.9%
blk.29.ffn_down.weight                          Q4_0    45.1M   3.392    10.5    0.0%  0.984   100.0%
blk.0.ffn_down.weight                           Q4_0    45.1M   3.392    10.5    0.0%  0.527   100.0%
blk.15.ffn_down.weight                          Q4_0    45.1M   3.392    10.5    0.0%  1.062   100.0%
blk.20.attn_k.weight                            Q4_0    16.8M   3.392    10.5    0.0%  0.328   100.0%
blk.30.attn_k.weight                            Q4_0    16.8M   3.392    10.5    0.1%  0.369   100.0%
blk.9.attn_k.weight                             Q4_0    16.8M   3.392    10.5    0.0%  0.355    99.9%
blk.7.attn_q.weight                             Q4_0    16.8M   3.392    10.5    0.1%  0.758    99.8%
blk.3.attn_output.weight                        Q4_0    16.8M   3.392    10.5    0.0%  0.539   100.0%
blk.13.ffn_down.weight                          Q4_0    45.1M   3.392    10.5    0.0%  1.070   100.0%
blk.28.attn_q.weight                            Q4_0    16.8M   3.392    10.5    0.1%  0.770   100.0%
blk.10.ffn_down.weight                          Q4_0    45.1M   3.393    10.5    0.0%  1.023   100.0%
blk.25.attn_k.weight                            Q4_0    16.8M   3.393    10.5    0.0%  0.365   100.0%
blk.11.attn_k.weight                            Q4_0    16.8M   3.393    10.5    0.0%  0.279    99.9%
blk.8.attn_k.weight                             Q4_0    16.8M   3.393    10.5    0.0%  0.309    99.9%
blk.10.attn_k.weight                            Q4_0    16.8M   3.393    10.5    0.0%  0.293    99.8%
blk.27.attn_q.weight                            Q4_0    16.8M   3.393    10.5    0.1%  0.793   100.0%
blk.19.attn_k.weight                            Q4_0    16.8M   3.393    10.5    0.0%  0.299   100.0%
blk.11.attn_v.weight                            Q4_0    16.8M   3.393    10.5    0.0%  0.299   100.0%
blk.31.attn_v.weight                            Q4_0    16.8M   3.393    10.5    0.0%  0.391   100.0%
blk.2.attn_v.weight                             Q4_0    16.8M   3.393    10.5    0.0%  0.147   100.0%
blk.12.attn_k.weight                            Q4_0    16.8M   3.393    10.5    0.0%  0.299    99.9%
blk.14.ffn_down.weight                          Q4_0    45.1M   3.393    10.5    0.0%  0.660   100.0%
blk.12.ffn_down.weight                          Q4_0    45.1M   3.393    10.5    0.0%  0.648   100.0%
blk.14.attn_k.weight                            Q4_0    16.8M   3.394    10.5    0.0%  0.314    99.9%
blk.11.ffn_down.weight                          Q4_0    45.1M   3.394    10.5    0.0%  0.766   100.0%
blk.16.attn_k.weight                            Q4_0    16.8M   3.394    10.5    0.0%  0.289    99.9%
blk.26.attn_q.weight                            Q4_0    16.8M   3.394    10.5    0.1%  0.863   100.0%
blk.9.ffn_down.weight                           Q4_0    45.1M   3.394    10.5    0.0%  0.664   100.0%
blk.7.attn_v.weight                             Q4_0    16.8M   3.394    10.5    0.0%  0.226   100.0%
blk.9.attn_q.weight                             Q4_0    16.8M   3.394    10.5    0.0%  0.777    99.9%
blk.15.attn_k.weight                            Q4_0    16.8M   3.394    10.5    0.0%  0.260    99.9%
blk.16.ffn_down.weight                          Q4_0    45.1M   3.394    10.5    0.0%  0.770   100.0%
blk.22.attn_q.weight                            Q4_0    16.8M   3.394    10.5    0.0%  0.875   100.0%
blk.8.attn_q.weight                             Q4_0    16.8M   3.394    10.5    0.0%  0.559    99.8%
blk.18.attn_k.weight                            Q4_0    16.8M   3.394    10.5    0.0%  0.312   100.0%
blk.28.attn_k.weight                            Q4_0    16.8M   3.394    10.5    0.0%  0.369   100.0%
blk.6.attn_v.weight                             Q4_0    16.8M   3.394    10.5    0.0%  0.287   100.0%
blk.13.attn_k.weight                            Q4_0    16.8M   3.394    10.5    0.0%  0.301    99.9%
blk.23.attn_q.weight                            Q4_0    16.8M   3.394    10.5    0.0%  0.816   100.0%
blk.17.attn_k.weight                            Q4_0    16.8M   3.394    10.5    0.0%  0.307    99.9%
blk.27.attn_k.weight                            Q4_0    16.8M   3.394    10.5    0.1%  0.289   100.0%
blk.21.attn_q.weight                            Q4_0    16.8M   3.394    10.5    0.0%  0.941   100.0%
blk.3.attn_v.weight                             Q4_0    16.8M   3.394    10.5    0.0%  0.139   100.0%
blk.8.attn_v.weight                             Q4_0    16.8M   3.394    10.5    0.0%  0.208   100.0%
blk.25.attn_q.weight                            Q4_0    16.8M   3.394    10.5    0.1%  0.645   100.0%
