Integer Structure Map — tinyllama_tinyllama-1.1b-chat-v1.0
Scanned 200/201 tensors (eps=0.1, 1 unsupported types skipped)
Q4_0 max entropy = 4.0 bits (16 uniform levels). Lower = more structured.

TENSOR                                          TYPE    ELEMS ENTROPY  EFF_LV  %LOW_E MAX|W|    %ZERO
------------------------------------------------------------------------------------------------------------
blk.0.attn_k.weight                             Q4_0   524.3K   2.508     5.7   23.0%  3.109    98.3%
blk.0.attn_q.weight                             Q4_0     4.2M   2.774     6.8   11.9%  1.586    99.8%
blk.1.attn_k.weight                             Q4_0   524.3K   3.200     9.2    0.7%  0.672    95.0%
blk.1.attn_q.weight                             Q4_0     4.2M   3.231     9.4    0.2%  0.602    99.2%
blk.18.attn_v.weight                            Q4_0   524.3K   3.301     9.9    0.4%  0.283    99.9%
blk.0.attn_output.weight                        Q4_0     4.2M   3.303     9.9    0.8%  0.381   100.0%
blk.15.attn_v.weight                            Q4_0   524.3K   3.303     9.9    0.4%  0.155   100.0%
blk.1.attn_v.weight                             Q4_0   524.3K   3.309     9.9    0.0%  0.090   100.0%
blk.2.attn_k.weight                             Q4_0   524.3K   3.312     9.9    0.1%  0.668    93.1%
blk.0.attn_v.weight                             Q4_0   524.3K   3.313     9.9    0.0%  0.067   100.0%
blk.20.attn_k.weight                            Q4_0   524.3K   3.348    10.2    0.2%  0.496    98.2%
blk.8.attn_k.weight                             Q4_0   524.3K   3.350    10.2    0.2%  0.447    95.6%
blk.4.attn_k.weight                             Q4_0   524.3K   3.350    10.2    0.2%  0.471    95.0%
blk.3.attn_k.weight                             Q4_0   524.3K   3.353    10.2    0.1%  0.432    95.3%
blk.19.attn_v.weight                            Q4_0   524.3K   3.353    10.2    0.0%  0.287    99.9%
blk.19.attn_k.weight                            Q4_0   524.3K   3.354    10.2    0.2%  0.527    98.3%
blk.8.attn_q.weight                             Q4_0     4.2M   3.354    10.2    0.3%  0.453    99.7%
blk.5.attn_k.weight                             Q4_0   524.3K   3.355    10.2    0.2%  0.373    94.4%
blk.17.attn_v.weight                            Q4_0   524.3K   3.356    10.2    0.0%  0.178   100.0%
blk.21.ffn_down.weight                          Q4_0    11.5M   3.357    10.2    0.1%  0.691   100.0%
blk.21.attn_k.weight                            Q4_0   524.3K   3.358    10.3    0.2%  0.547    98.2%
blk.6.attn_k.weight                             Q4_0   524.3K   3.359    10.3    0.0%  0.410    95.6%
blk.14.attn_v.weight                            Q4_0   524.3K   3.360    10.3    0.0%  0.095   100.0%
blk.18.attn_k.weight                            Q4_0   524.3K   3.360    10.3    0.2%  0.445    97.7%
blk.11.attn_v.weight                            Q4_0   524.3K   3.363    10.3    0.0%  0.067   100.0%
blk.2.attn_v.weight                             Q4_0   524.3K   3.363    10.3    0.0%  0.071   100.0%
blk.21.attn_q.weight                            Q4_0     4.2M   3.364    10.3    0.2%  0.543    99.9%
blk.12.attn_v.weight                            Q4_0   524.3K   3.366    10.3    0.0%  0.075   100.0%
blk.11.attn_q.weight                            Q4_0     4.2M   3.367    10.3    0.1%  0.393    99.7%
blk.17.attn_k.weight                            Q4_0   524.3K   3.368    10.3    0.1%  0.443    97.8%
blk.6.attn_q.weight                             Q4_0     4.2M   3.368    10.3    0.0%  0.334    99.8%
blk.15.attn_q.weight                            Q4_0     4.2M   3.368    10.3    0.1%  0.436    99.7%
blk.15.attn_k.weight                            Q4_0   524.3K   3.368    10.3    0.1%  0.480    96.8%
blk.20.attn_q.weight                            Q4_0     4.2M   3.369    10.3    0.1%  0.625    99.9%
blk.16.attn_q.weight                            Q4_0     4.2M   3.369    10.3    0.1%  0.520    99.7%
blk.9.attn_v.weight                             Q4_0   524.3K   3.369    10.3    0.0%  0.062   100.0%
blk.7.attn_v.weight                             Q4_0   524.3K   3.370    10.3    0.0%  0.098   100.0%
blk.4.attn_q.weight                             Q4_0     4.2M   3.370    10.3    0.1%  0.322    99.9%
blk.3.attn_q.weight                             Q4_0     4.2M   3.370    10.3    0.1%  0.328    99.8%
blk.6.attn_v.weight                             Q4_0   524.3K   3.371    10.3    0.0%  0.066   100.0%
blk.2.attn_q.weight                             Q4_0     4.2M   3.371    10.3    0.0%  0.504    99.2%
blk.16.attn_v.weight                            Q4_0   524.3K   3.372    10.4    0.0%  0.104   100.0%
blk.19.attn_q.weight                            Q4_0     4.2M   3.372    10.4    0.1%  0.535    99.9%
blk.10.attn_v.weight                            Q4_0   524.3K   3.374    10.4    0.0%  0.083   100.0%
blk.5.attn_q.weight                             Q4_0     4.2M   3.374    10.4    0.1%  0.287    99.8%
blk.7.attn_k.weight                             Q4_0   524.3K   3.374    10.4    0.1%  0.482    95.9%
blk.18.attn_q.weight                            Q4_0     4.2M   3.374    10.4    0.0%  0.436    99.8%
blk.17.attn_q.weight                            Q4_0     4.2M   3.375    10.4    0.1%  0.512    99.9%
blk.14.attn_k.weight                            Q4_0   524.3K   3.375    10.4    0.0%  0.498    95.1%
blk.13.attn_v.weight                            Q4_0   524.3K   3.375    10.4    0.0%  0.074   100.0%
blk.0.ffn_down.weight                           Q4_0    11.5M   3.376    10.4    0.0%  0.523   100.0%
blk.14.ffn_down.weight                          Q4_0    11.5M   3.376    10.4    0.1%  0.645   100.0%
blk.21.attn_v.weight                            Q4_0   524.3K   3.376    10.4    0.0%  0.153   100.0%
blk.8.attn_v.weight                             Q4_0   524.3K   3.377    10.4    0.0%  0.089   100.0%
blk.0.ffn_gate.weight                           Q4_0    11.5M   3.377    10.4    0.1%  0.494   100.0%
blk.11.attn_k.weight                            Q4_0   524.3K   3.377    10.4    0.0%  0.377    96.3%
blk.10.attn_k.weight                            Q4_0   524.3K   3.377    10.4    0.0%  0.451    94.8%
blk.16.attn_k.weight                            Q4_0   524.3K   3.378    10.4    0.0%  0.389    96.7%
blk.14.attn_q.weight                            Q4_0     4.2M   3.378    10.4    0.1%  0.531    99.8%
blk.7.ffn_down.weight                           Q4_0    11.5M   3.378    10.4    0.2%  1.016   100.0%
blk.10.attn_q.weight                            Q4_0     4.2M   3.378    10.4    0.1%  0.418    99.8%
blk.4.attn_v.weight                             Q4_0   524.3K   3.379    10.4    0.0%  0.077   100.0%
blk.7.attn_q.weight                             Q4_0     4.2M   3.379    10.4    0.0%  0.570    99.6%
blk.9.attn_k.weight                             Q4_0   524.3K   3.379    10.4    0.0%  0.375    95.4%
blk.12.attn_k.weight                            Q4_0   524.3K   3.379    10.4    0.0%  0.488    96.0%
blk.13.ffn_down.weight                          Q4_0    11.5M   3.379    10.4    0.1%  0.797   100.0%
blk.12.ffn_down.weight                          Q4_0    11.5M   3.379    10.4    0.1%  0.805   100.0%
blk.16.ffn_down.weight                          Q4_0    11.5M   3.380    10.4    0.1%  0.672   100.0%
blk.14.ffn_up.weight                            Q4_0    11.5M   3.380    10.4    0.1%  0.381   100.0%
